GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100000120331,Henan Angang Zhoukou Iron and Steel Co Ltd,Henan Angang Zhoukou Iron and Steel Co Ltd,China,Asia Pacific,33.364534,115.099661,1750.0,5.0,2.6251167138556206,1216482444.7504897,42940994119.0539
P100000120169,Henan Changtai Stainless Steel Plate Co Ltd,Henan Changtai Stainless Steel Plate Co Ltd,China,Asia Pacific,34.702951,112.955911,,14.0,0.6381370585983623,3849360572.403314,176057082397.7937
P100000120167,Henan Fengbao Special Steel Co Ltd,Henan Fengbao SPECIAL Steel Co Ltd,China,Asia Pacific,36.131666,113.872158,0.0,25.0,0.7839422089552857,1250100343.4634068,102764827087.29698
P100001064248,Henan Fuhua Steel Group Co Ltd,Henan Fuhua Iron & Steel Group Co Ltd,China,Asia Pacific,34.462949,113.700844,1200.0,26.47,0.8572533468512826,3251997907.564753,671782005388.0455
P100000121086,Henan Jinhui Industrial Group,Henan Xinjinhui Stainless Steel Industry Co Ltd,China,Asia Pacific,34.263509,113.853979,1400.0,21.0,3.67880951804459,797364861.8664675,168522835872.76932
P100000120164,Henan Jiyuan Iron and Steel Group Co Ltd,Henan Jiyuan Iron & Steel (Group) Co Ltd,China,Asia Pacific,35.086396,112.553774,3428.0,68.0,4.4316112315555305,3421395276.0751696,108567124624.6772
P100000120168,Henan Yaxin Iron and Steel Group Co Ltd,Henan YAXIN Steel Industry Co Ltd,China,Asia Pacific,35.879956,114.334825,1000.0,23.0,3.6614024666820275,1630271672.3960836,125385157536.0824
P100000120180,Hengyang Valin Steel Tube Co Ltd,Hengyang Valin Steel Tube Co Ltd,China,Asia Pacific,26.865484,112.576853,1300.0,68.0,3.6469897476555193,8841440925.872505,52631189059.04941
P100000120091,Heping Yueshen Steel Industry Co Ltd,Heping Yueshen Steel Industrial Co Ltd,China,Asia Pacific,24.49796,114.93888,1400.0,15.0,4.82608368356569,922848789.0805657,5593914441.559017
P100000120090,Heyuan Derun Steel Co Ltd Dongjiang Jinzhu Industrial Park,Heyuan Derun Steel Co Ltd,China,Asia Pacific,23.693659,114.743048,,49.0,3.892980450108881,10381673523.067602,27330449920.220844
P100000121139,Heyuan Derun Steel Co Ltd LanTang Industrial Park,Heyuan Derun Steel Co Ltd,China,Asia Pacific,23.39775,114.898646,1650.0,3.0,3.4961966017240114,17999992.50243982,36905249474.78288
